account_id,customer_id,branch_id,account_type,account_status,customer_segment,currency,opening_balance,current_balance,interest_rate,opened_at,credit_limit,overdraft_limit
ACC000000001,C0001888,BR001,Money Market,Active,Premium,USD,6800.98,6800.98,3.41,2025-08-18,,
ACC000000002,C0001580,BR009,Fixed Deposit,Active,Retail,USD,1564.75,1564.75,4.72,2025-07-22,,
ACC000000003,C0001427,BR001,Current,Closed,Retail,USD,818.59,818.59,0.0,2026-01-20,2208.12,4065.63
ACC000000004,C0001293,BR005,Checking,Active,Retail,USD,1328.81,1328.81,0.02,2024-11-04,,2277.35
ACC000000005,C0001395,BR001,Savings,Active,Retail,GBP,272.16,272.16,2.18,2026-04-27,,
ACC000000006,C0000026,BR001,Checking,Active,Retail,EUR,2237.9,2237.9,0.03,2025-10-03,,2930.8
ACC000000007,C0001846,BR001,Savings,Frozen,Retail,USD,1810.22,1810.22,1.35,2025-07-15,,
ACC000000008,C0001417,BR002,Money Market,Active,Retail,USD,798.64,798.64,2.12,2025-09-03,,
ACC000000009,C0000843,BR005,Checking,Active,Retail,USD,3495.55,3495.55,0.04,2026-05-06,,4071.14
ACC000000010,C0000551,BR005,Current,Active,Retail,USD,4617.32,4617.32,0.0,2026-04-16,24840.3,484.35
ACC000000011,C0001585,BR005,Money Market,Active,Retail,USD,362.29,362.29,2.36,2026-02-01,,
ACC000000012,C0000362,BR002,Savings,Active,Retail,USD,843.26,843.26,2.4,2025-12-04,,
ACC000000013,C0000923,BR003,Savings,Active,Retail,USD,837.87,837.87,0.87,2024-10-15,,
ACC000000014,C0001555,BR001,Current,Active,Retail,EUR,706.34,706.34,0.0,2025-08-19,32003.47,399.05
ACC000000015,C0000176,BR002,Fixed Deposit,Active,Retail,USD,4144.24,4144.24,3.59,2025-01-22,,
ACC000000016,C0000994,BR004,Checking,Active,Retail,USD,1489.47,1489.47,0.05,2024-11-28,,3326.61
ACC000000017,C0001617,BR016,Checking,Active,Retail,USD,1387.81,1387.81,0.03,2025-01-26,,2600.37
ACC000000018,C0001971,BR005,Current,Active,Retail,USD,243.75,243.75,0.01,2026-01-24,18853.86,4450.76
ACC000000019,C0000646,BR006,Fixed Deposit,Active,Retail,USD,3413.24,3413.24,3.14,2025-09-15,,
ACC000000020,C0000730,BR007,Checking,Active,Retail,EUR,523.61,523.61,0.03,2026-03-24,,4177.11
ACC000000021,C0001895,BR001,Money Market,Active,Retail,USD,1919.72,1919.72,3.4,2025-08-21,,
ACC000000022,C0001539,BR006,Fixed Deposit,Active,Retail,USD,2386.01,2386.01,5.17,2026-04-10,,
ACC000000023,C0001055,BR002,Savings,Active,Retail,USD,7049.12,7049.12,2.38,2026-01-12,,
ACC000000024,C0000660,BR001,Fixed Deposit,Frozen,Retail,GBP,488.42,488.42,4.84,2026-04-18,,
ACC000000025,C0001389,BR003,Money Market,Active,Premium,USD,652.29,652.29,3.09,2025-10-29,,
ACC000000026,C0000714,BR002,Current,Pending Review,Retail,EUR,2172.97,2172.97,0.02,2025-02-18,36846.75,1469.31
ACC000000027,C0000400,BR005,Money Market,Frozen,Retail,USD,10943.61,10943.61,2.93,2025-07-13,,
ACC000000028,C0000066,BR001,Checking,Active,Retail,USD,6241.32,6241.32,0.03,2025-06-07,,4373.93
ACC000000029,C0000345,BR008,Checking,Active,Retail,USD,2229.78,2229.78,0.02,2025-11-26,,852.17
ACC000000030,C0001934,BR004,Checking,Active,Retail,CAD,1105.84,1105.84,0.01,2024-12-21,,4645.02
