customer_id,first_name,last_name,email,phone_number,date_of_birth,address,city,state,zip_code,country,registration_date,customer_segment,kyc_status,is_active,annual_income,occupation,nationality
C0000001,Sandra,Patton,vpham@example.org,521-260-7337x543,1990-06-26,5414 May Locks,Sheilaville,FM,34738,USA,2024-10-04,Premium,Verified,True,132989.9,Business Owner,Mozambique
C0000002,Tonya,Johnson,yreed@example.com,(798)816-9340x60883,2005-11-10,595 Jennifer Hills,Elizabethmouth,MO,91885,USA,2025-04-04,Retail,Verified,True,33889.75,Nurse,Micronesia
C0000003,James,Ortega,lbyrd@example.net,001-746-980-4436,1949-01-08,3872 Justin Shore Suite 134,Port James,AK,06558,USA,2025-01-15,Retail,Verified,True,50203.71,Driver,Lebanon
C0000004,Melissa,Jones,kmercado@example.org,001-967-263-2016x328,1981-12-16,72788 Dodson Mills,Rivasside,NV,21362,USA,2026-01-07,Retail,Verified,False,77770.3,Warehouse Worker,Korea
C0000005,Karen,Larsen,katie87@example.net,347.414.3455,1957-12-31,62316 Rivera Mountain,Brownchester,MS,77057,USA,2024-01-31,Retail,Verified,True,32303.26,Teacher,Togo
C0000006,Kathy,James,benderkenneth@example.com,(488)993-7346x70656,2000-04-15,806 Christopher Meadow,Port Steven,AR,34600,USA,2025-08-11,Retail,Verified,True,32303.52,Retail Worker,Greece
C0000007,Shawn,Rogers,aramirez@example.com,270-580-5310,1954-10-06,92327 Anne Forge,Lyonsstad,GA,79916,USA,2024-06-26,Retail,Failed,True,79985.96,Administrative Assistant,Slovakia (Slovak Republic)
C0000008,Frank,Collins,hickmanbarbara@example.com,(831)793-1491x9058,1996-02-11,506 Garcia Lake,Zimmermanchester,HI,96681,USA,2026-03-21,Retail,Verified,True,53301.37,Retired,Pakistan
C0000009,Christina,Gillespie,umarshall@example.net,253-914-7379x965,1958-09-27,73545 Beard Squares Suite 808,North John,MT,64539,USA,2025-01-08,Retail,Verified,True,28717.52,Warehouse Worker,Portugal
C0000010,Debbie,Henry,davisjeffrey@example.net,749.757.8856,1972-10-04,4431 Leslie Summit Apt. 337,Jennyhaven,PA,37594,USA,2024-06-05,Retail,Verified,True,47632.95,Student,Syrian Arab Republic
C0000011,Kenneth,Ward,alexis82@example.com,6089427109,1953-07-27,5204 Wilson Circles Suite 719,East Edwardshire,ME,11665,USA,2025-01-20,Retail,Expired,True,28804.62,Retired,British Indian Ocean Territory (Chagos Archipelago)
C0000012,Kathy,Obrien,kimberlyjames@example.com,496-549-9091x3341,1978-05-03,120 Hayes Ranch,Carterbury,LA,93163,USA,2025-03-15,Retail,Verified,True,28771.34,Driver,Reunion
